794	903
1973	2794	903
1980	2844	903
1970	2792	902
1970	2808	903
1966	2800	903
1964	2789	904
1959	2802	902
1958	2794	903
1973	2787	903
1968	2801	903
1969	2798	903
1979	2798	903
1965	2795	903
1959	2800	903
1951	2803	903
1962	2785	903
1959	2806	903
1966	2791	903
1958	2810	903
1978	2804	903
1973	2797	903
1969	2794	903
1979	2848	903
1972	2850	902
1976	2772	904
1965	2794	903
1972	2787	903
1960	2801	903
1978	2796	903
1981	2794	903
1962	2778	903
1968	2801	904
1960	2808	903
1958	2790	903
1967	2789	903
1960	2809	904
1958	2789	903
1967	2783	902
1964	2791	903
1970	2781	903
1958	2809	903
1960	2804	903
1970	2801	903
1966	2794	902
1955	2785	903
1965	2812	903
1957	2783	903
1980	2784	902
1948	2805	903
1958	2777	903
1974	2804	902
1974	2801	904
1963	2800	904
1968	2808	903
1968	2815	903
1971	2783	903
1966	2784	903
1984	2796	902
1958	2811	903
1960	2808	903
1977	2802	903
1963	2802	902
1980	2794	904
1986	2788	904
1963	2790	903
1970	2797	904
1959	2763	903
1952	2842	903
1964	2787	903
1963	2796	903
1959	2798	904
1963	2789	903
1967	2802	903
1955	2804	903
1958	2800	902
1969	2789	903
1972	2804	903
1972	2798	903
1956	2786	902
1957	2806	902
1968	2794	903
1971	2790	903
1957	2787	903
1951	2794	903
1961	2790	903
1963	2802	903
1973	2811	903
1969	2783	904
1960	2787	903
1975	2787	903
1965	2838	902
1957	2793	904
1968	2794	902
1959	2775	903
1947	2837	903
1966	2791	903
1959	2786	902
1952	2799	903
1963	2788	903
1959	2795	903
1956	2787	903
1963	2798	903
1969	2801	903
1978	2809	903
1979	2798	903
1953	2805	903
1977	2790	903
1966	2794	902
1952	2792	903
1972	2793	903
1956	2800	903
1964	2788	903
1964	2810	904
1959	2808	903
1970	2795	903
1963	2781	903
1966	2788	903
1977	2854	903
1977	2747	903
1972	2795	903
1962	2785	903
1966	2770	902
1974	2810	902
1980	2796	903
1970	2809	903
1969	2795	903
1972	2785	903
1963	2781	903
1972	2803	903
1978	2797	903
1958	2792	903
1968	2805	903
1963	2791	903
1961	2807	903
1959	2799	903
1962	2799	903

1961	2814	903
1961	2798	853
1963	2836	903
1992	2800	903
1971	2757	903
1965	2793	903
1974	2810	903
1960	2793	904
1965	2805	904
1969	2787	903
1974	2798	903
1960	2806	904
1969	2792	902
1977	2800	903
1961	2803	903
1986	2792	903
1975	2808	903
1980	2800	903
1959	2808	903
1962	2803	903
1969	2795	903
1964	2801	903
1972	2804	903
1958	2789	903
1952	2838	902
1963	2856	903
1969	2797	903
1962	2796	903
1964	2798	903
1963	2800	904
1956	2803	903
1970	2805	903
1971	2793	903
1972	2802	904
1963	2801	903
1966	2805	903
1954	2796	904
1973	2789	903
1959	2797	904
1961	2791	903
1974	2802	901
1957	2799	903
1973	2804	902
1968	2786	903
1976	2803	903
1969	2814	902
1963	2785	903
1971	2787	903
1969	2790	903
1963	2795	903
1986	2777	903
1974	2793	902
1964	2812	903
1966	2801	904
1963	2795	902
1968	2796	902
1965	2799	903
1980	2801	903
1965	2796	903
1959	2798	903
1964	2794	903
1962	2794	902
1955	2793	903
1960	2793	903
1967	2801	903
1961	2786	903
1966	2794	904
1952	2785	903
1952	2796	903
1976	2780	904
1967	2796	903
1969	2789	903
1965	2794	903
1963	2789	904
1959	2798	904
1945	2767	903
1969	2792	903
1964	2794	903
1972	2790	903
1964	2793	903
1958	2778	902
1973	2799	903
1966	2797	903
1962	2792	902
1951	2798	903
1982	2791	903
1959	2808	903
1956	2794	904
1976	2740	903
1976	2797	904
1975	2807	903
1961	2763	903
1965	2793	903
1972	2798	903
1981	2790	903
1971	2806	903
1967	2788	903
1960	2785	903
1975	2790	903
1961	2808	903
1970	2801	902
1972	2801	903
1956	2794	903
1963	2786	903
1982	2804	903
1965	2801	903
1976	2796	903
1961	2797	903
1969	2801	903
1959	2798	903
1969	2846	903
1957	2810	903
1969	2785	904
1958	2779	904
1955	2800	902
1968	2803	903
1958	2791	903
1967	2800	903
1970	2795	903
1975	2791	903
1965	2795	903
1965	2792	903
1952	2807	903
1958	2801	903
1958	2804	903
1953	2796	903
1955	2781	904
1973	2799	903
1984	2789	902
1961	2791	903
1973	2788	903
1963	2810	903
1966	2783	903
1967	2791	903
1961	2768	902
1981	2796	903
1962	2787	904
1961	2808	903
1970	2786	903
1969	2804	903
1961	2799	903
